type,code,name,yobi,naikei,gaikei,atsumi,company,1＝在庫表に載ってないけどある
9RWMI,9RWMI002020,磨丸座（ＩＳＯ）ﾕﾆｸﾛ,20,21,37,3,ユニクロ,
9RWMI,9RWMI001020,磨丸座（ＩＳＯ）ﾄﾞﾌﾞ,20,21,37,3,ドブ,
RWMI,RWMI000022,磨丸座（ＩＳＯ）,22,23,39,3,生地,
RWMI,RWMI001022,磨丸座（ＩＳＯ）ﾄﾞﾌﾞ,22,23,39,3,ドブ,
RWMI,RWMI002022,磨丸座（ＩＳＯ）ﾕﾆｸﾛ,22,23,39,3,ユニクロ,
RWMI,RWMI003022,磨丸座（ＩＳＯ）ｸﾛﾒｰﾄ,22,23,39,3,クロメート,
9RWMI,9RWMI001022,磨丸座（ＩＳＯ）ﾄﾞﾌﾞ,22,23,39,3,ドブ,
RWMI,RWMI000024,磨丸座（ＩＳＯ）,24,25,44,4,生地,
RWMI,RWMI001024,磨丸座（ＩＳＯ）ﾄﾞﾌﾞ,24,25,44,4,ドブ,
RWMI,RWMI002024,磨丸座（ＩＳＯ）ﾕﾆｸﾛ,24,25,44,4,ユニクロ,
RWMI,RWMI003024,磨丸座（ＩＳＯ）ｸﾛﾒｰﾄ,24,25,44,4,クロメート,
RWMI,RWMI103024,磨丸座（ＩＳＯ）三価ｸﾛﾒｰﾄ,24,25,44,4,三価クロメート,
9RWMI,9RWMI001024,磨丸座（ＩＳＯ）ﾄﾞﾌﾞ,24,25,44,4,ドブ,
RWMI,RWMI000027,磨丸座（ＩＳＯ）,27,28,50,4,生地,
RWMI,RWMI002027,磨丸座（ＩＳＯ）ﾕﾆｸﾛ,27,28,50,4,ユニクロ,
RWMI,RWMI003027,磨丸座（ＩＳＯ）ｸﾛﾒｰﾄ,27,28,50,4,クロメート,
RWMI,RWMI000030,磨丸座（ＩＳＯ）,30,31,56,4,生地,
RWMI,RWMI001030,磨丸座（ＩＳＯ）ﾄﾞﾌﾞ,30,31,56,4,ドブ,
RWMI,RWMI002030,磨丸座（ＩＳＯ）ﾕﾆｸﾛ,30,31,56,4,ユニクロ,
RWMI,RWMI003030,磨丸座（ＩＳＯ）ｸﾛﾒｰﾄ,30,31,56,4,クロメート,
RWMI,RWMI103030,磨丸座（ＩＳＯ）三価ｸﾛﾒｰﾄ,30,31,56,4,三価クロメート,
